,from,to,inter
0,R_1,R_3,год россия
1,R_1,R_4,год который наш свой такой тот человек это
2,R_1,R_5,год который
3,R_1,R_6,россия
4,R_1,R_7,год дело который суд
5,R_1,R_10,год россия
6,R_1,R_11,год
7,R_1,R_12,год дело россия
8,R_1,R_13,республика
9,R_1,R_14,год дело который правительство россия суд
10,R_1,R_15,человек
11,R_1,R_16,год который человек
12,R_1,R_17,выборы год который россия человек это
13,R_1,R_18,который россия
14,R_1,R_19,год который наш республика россия свой
15,R_1,R_20,год который россия свой
16,R_1,R_22,год который свой человек это
17,R_1,R_24,год который свой человек это
18,R_1,R_25,год который
19,R_1,R_27,год который россия это
20,R_1,R_28,деньга который
21,R_1,R_30,год дело который суд
22,R_1,R_30,который правительство человек
23,R_1,R_30,человек
24,R_1,R_30,власть год который правительство россия свой это
25,R_1,R_30,власть год который правительство россия свой человек это
26,R_1,R_30,год
27,R_1,R_30,выборы депутат который парламент партия политический правительство россия свой
28,R_1,R_30,который
29,R_1,R_30,россия
30,R_1,R_30,который тот человек
31,R_1,R_30,власть суд
32,R_1,R_30,год который россия
33,R_1,R_30,год который россия свой это
34,R_1,R_30,год россия
35,R_1,R_30,год россия
36,R_1,R_30,год дело который суд
37,R_1,R_30,который республика человек
38,R_1,R_30,дело человек
39,R_1,R_30,дело который россия
40,R_1,R_30,год
41,R_1,R_30,который человек
42,R_1,R_30,год россия
43,R_1,R_30,который
44,R_1,R_30,год который такой человек это
45,R_1,R_30,год который свой человек это
46,R_1,R_30,который человек
47,R_2,R_4,год который новый это
48,R_2,R_5,год который новый
49,R_2,R_6,волгоградский
50,R_2,R_7,волгоградский год который
51,R_2,R_8,волгоградский
52,R_2,R_10,волгоградский год
53,R_2,R_11,волгоградский год
54,R_2,R_12,волгоградский год
55,R_2,R_14,год который
56,R_2,R_15,волгоградский новый
57,R_2,R_16,волгоградский год который состояться
58,R_2,R_17,волгоградский год который челябинский это
59,R_2,R_18,волгоградский который
60,R_2,R_19,год который культура состояться фестиваль
61,R_2,R_20,волгоградский год который культура
62,R_2,R_22,волгоградский год который это
63,R_2,R_24,волгоградский год который новый это
64,R_2,R_25,волгоградский год который
65,R_2,R_26,волгоградский
66,R_2,R_27,волгоградский год который новый это
67,R_2,R_28,который
68,R_2,R_30,волгоградский год который
69,R_2,R_30,который
70,R_2,R_30,год который новый это
71,R_2,R_30,год который новый это
72,R_2,R_30,год
73,R_2,R_30,который
74,R_2,R_30,который
75,R_2,R_30,который
76,R_2,R_30,год который
77,R_2,R_30,год который новый это
78,R_2,R_30,год
79,R_2,R_30,год
80,R_2,R_30,год который
81,R_2,R_30,который
82,R_2,R_30,который
83,R_2,R_30,год
84,R_2,R_30,который
85,R_2,R_30,год
86,R_2,R_30,который
87,R_2,R_30,год который новый это
88,R_2,R_30,актёр год который режиссёр театр это
89,R_2,R_30,который
90,R_3,R_5,год
91,R_3,R_6,волгоградский россия
92,R_3,R_7,волгоградский год млн рубль сумма услуга
93,R_3,R_8,волгоградский
94,R_3,R_10,волгоградский год продукт россия рубль услуга
95,R_3,R_11,волгоградский год
96,R_3,R_12,волгоградский год россия
97,R_3,R_14,год россия рубль
98,R_3,R_15,волгоградский
99,R_3,R_16,волгоградский год
100,R_3,R_17,волгоградский год россия
101,R_3,R_18,волгоградский россия
102,R_3,R_19,год россия
103,R_3,R_20,волгоградский год россия
104,R_3,R_22,волгоградский год
105,R_3,R_24,волгоградский год рубль
106,R_3,R_25,волгоградский год
107,R_3,R_26,волгоградский
108,R_3,R_27,волгоградский год россия рубль
109,R_3,R_28,банк банковский карта рубль
110,R_3,R_30,волгоградский год
111,R_3,R_30,операция
112,R_3,R_30,год россия
113,R_3,R_30,год млн россия
114,R_3,R_30,год млн млрд
115,R_3,R_30,россия
116,R_3,R_30,операция
117,R_3,R_30,млн
118,R_3,R_30,банк россия рубль
119,R_3,R_30,банк банковский вклад втб год кредит кредитный млрд россия сбербанк ставка
120,R_3,R_30,год россия
121,R_3,R_30,банк год россия ставка
122,R_3,R_30,банк год млн млрд россия ставка сумма
123,R_3,R_30,год
124,R_3,R_30,операция
125,R_3,R_30,россия
126,R_3,R_30,год
127,R_3,R_30,год млн млрд россия
128,R_3,R_30,млн млрд
129,R_3,R_30,год
130,R_3,R_30,год
131,R_4,R_6,волгоград дом
132,R_4,R_7,год дом который
133,R_4,R_8,волгоград
134,R_4,R_10,год
135,R_4,R_11,волгоград год
136,R_4,R_12,год
137,R_4,R_13,город
138,R_4,R_14,год который работа также
139,R_4,R_15,новый человек
140,R_4,R_16,волгоград год город день дом который человек
141,R_4,R_17,год город день который работа также человек это
142,R_4,R_18,который первый стать
143,R_4,R_19,год город день который наш работа свой стать
144,R_4,R_20,год город день который работа свой
145,R_4,R_21,вода дом работа
146,R_4,R_22,год который свой человек это
147,R_4,R_23,волгоград
148,R_4,R_24,год дом который новый работа свой человек это
149,R_4,R_25,волгоград год день который также
150,R_4,R_26,волгоград день
151,R_4,R_27,волгоград год который новый работа также это
152,R_4,R_28,который
153,R_4,R_29,волгоград город
154,R_4,R_30,волгоград год дом который
155,R_4,R_30,время город который человек
156,R_4,R_30,день
157,R_4,R_30,дом человек
158,R_4,R_30,год который новый свой также это
159,R_4,R_30,время год город который новый первый работа свой стать также человек это
160,R_4,R_30,год
161,R_4,R_30,который свой
162,R_4,R_30,город который
163,R_4,R_30,день
164,R_4,R_30,день
